r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Peninsular West Asia,PORT,no_convergence|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.0084846287397626,0.993929083133686,0.9910959885960728,1262,FALSE,false convergence (8),1.003172140129812e-10,0.9444446520690216,0.01137707655419981,0.10924111625450655,0.1631043563846371,0.19442934086518085,1,1.700915613480611e-7,0.7819055041562128,6.747878114259379e-4,-0.88,0.91,8.333333333333334,0.5235602094240838,-167.81484709765297,-159.86638758614893,-160.3481804309863,-163.81484709765297,-153.59539915429062,-149.96869325149913,6340.391185045242,FALSE,FALSE,FALSE
Republic of Korea,LM,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.0014217970055675,0.9988565669136898,0.9983229648067452,920,TRUE,Relative error in the sum of squares is at most `ftol'.,3.060474873554987e-21,NA,0.02336008476550668,NA,-1.037653724181429,NA,0.09019934313769618,NA,0.5020707928371764,NA,6.5,26,0.13333333333333333,0.03703703703703703,-208.90054230917457,-200.95208279767053,-201.4338756425079,-204.90054230917457,-194.68109436581221,-191.05438846302073,14144.24903011322,FALSE,FALSE,FALSE
Republic of Korea,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00261157346240357,0.9978997286584872,0.996919602032448,1052,FALSE,false convergence (8),4.663325128288578e-17,0.8345019934848463,0.01859167479709001,4.0798271388553506e-15,0.00396638822806535,0.7949841899033288,0.08702146123149936,0.7033672172831944,0.8584494771542119,3.4112588461514564e-15,38,38,0.02564102564102564,0.02564102564102564,-194.9158217094906,-186.96736219798655,-187.44915504282395,-190.9158217094906,-180.69637376612823,-177.06966786333678,2736.3392992019653,FALSE,FALSE,FALSE
Russia,LM,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00215573573738014,0.9975783270401756,0.9964482129922576,352,TRUE,Relative error in the sum of squares is at most `ftol'.,8.216950230734874e-9,0.4684533173916951,0.00921349102826557,1.67800489752115e-41,18.686207372902015,0.735176047296218,9.643639388941984e-13,0.9998752643824202,0.02022868617545982,0.7359854302221285,-0.02000000000000001,28,1.020408163265306,0.03448275862068965,-199.32770066380365,-191.3792411522996,-191.861033997137,-195.32770066380365,-185.1082527204413,-181.4815468176498,5441.721124887466,FALSE,FALSE,FALSE
South Africa,LM,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00191526449904178,0.9966019884677956,0.995016249752767,472,TRUE,Relative error in the sum of squares is at most `ftol'.,2.920063122384079e-10,0.7905782354967172,0.01085977867038338,5.482502548029063e-9,0.7261765567036464,2.620200666480563e-5,1.2750554434289794,2.1305907499608803e-10,0.37861127253928495,6.543020291844952e-5,0.81,-0.7200000000000001,0.5524861878453039,3.5714285714285725,-202.04805653088164,-194.0995970193776,-194.58138986421497,-198.04805653088164,-187.82860858751928,-184.2019026847278,5326.477060079575,FALSE,FALSE,FALSE
South Africa,PORT,NA|NA|bad_delta_VAE|NA|NA|NA|rho_KL_on_edge|NA,0.00223166624635449,0.9960406368702924,0.9941929340764292,291,TRUE,relative convergence (4),7.056876828364237e-13,0.38477589223806546,0.01383824421508085,8.56754309481589e-130,0.9999992361460536,0,1,3.252001822241153e-19,0.3097338714879069,1.2545079300962167e-60,40,20,0.02439024390243902,0.04761904761904761,-198.53152283385512,-190.58306332235108,-191.06485616718845,-194.53152283385512,-184.31207489049277,-180.68536898770128,1878.846303939819,TRUE,FALSE,FALSE
South America Cluster,NM,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.02233861690121852,0.9862692678215368,0.9798615928049206,1875,TRUE,NA,1.7503835952472046e-4,0.9326858713219122,0.00425507335965379,0.4675332226263126,0.4879858327156117,0.23052681812917364,2.8844259571228426,0.00749418080218962,0.4446413386505488,0.01033711852993875,14.5,2.21,0.06451612903225806,0.3115264797507788,-145.5494501335463,-137.60099062204225,-138.08278346687962,-141.5494501335463,-131.33000219018393,-127.70329628739243,448.6002769470215,FALSE,FALSE,FALSE
South America Cluster,Nelder-Mead,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.02233861690121852,0.9862692678215368,0.9798615928049206,1875,TRUE,NA,1.7503835952472046e-4,0.9326858713219122,0.00425507335965379,0.4675332226263126,0.4879858327156117,0.23052681812917364,2.8844259571228426,0.00749418080218962,0.4446413386505488,0.01033711852993875,14.5,2.21,0.06451612903225806,0.3115264797507788,-145.5494501335463,-137.60099062204225,-138.08278346687962,-141.5494501335463,-131.33000219018393,-127.70329628739243,442.0606188774109,FALSE,FALSE,FALSE
South America Cluster,PORT,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00284569237989948,0.9982508567963954,0.9974345899680466,1441,FALSE,false convergence (8),3.93236181609781e-22,0.8072341859573098,0.02437523284978243,2.8228096423574427e-33,1,0.10319045573546046,0.6061727943611355,0.02828889625032615,0.3912454337288607,2.343064674474811e-9,7,-0.56,0.125,2.272727272727273,-192.94119106232404,-184.99273155082,-185.47452439565737,-188.94119106232404,-178.72174311896168,-175.0950372161702,1977.366563081741,FALSE,FALSE,FALSE
South-eastern Asia,LM,NA|bad_delta_KL|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.00132608894387929,0.9994484862651996,0.9991911131889596,853,TRUE,Relative error in the sum of squares is at most `ftol'.,3.1504377271275e-18,0.875149374600928,0.01993496419203429,2.3908907029193416e-10,1.4259685655698904,8.404615524202368e-4,0.9767584359834416,3.253653570254889e-5,0.49800713264534074,6.500886925328331e-31,10,40,0.09090909090909093,0.02439024390243902,-210.50335715699777,-202.5548976454937,-203.03669049033107,-206.50335715699777,-196.28390921363535,-192.6572033108439,14893.289208889008,FALSE,TRUE,FALSE
South-eastern Asia,PORT,NA|bad_delta_KL|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.00141327109176795,0.9994122276475468,0.9991379338830684,1763,TRUE,relative convergence (4),2.653944790109541e-17,0.8222046913264265,0.01888086839622377,9.73922152275431e-18,1,0.00149228111656709,0.84277735180696,7.949950513782479e-25,0.5944142675427088,1.1221860871593176e-4,-0.66,-0.8,2.9411764705882355,5.000000000000001,-209.03887874541996,-201.09041923391592,-201.5722120787533,-205.03887874541996,-194.8194308020576,-191.19272489926612,4275.2384967803955,FALSE,TRUE,FALSE
Southern Africa Cluster,LM,NA|bad_delta_KL|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.01850644981851441,0.982648276508368,0.9745508055456064,117,TRUE,Relative error in the sum of squares is at most `ftol'.,2.9426570525749874e-14,0.9010792292217796,0.01539957606244855,1.1154141617584168e-4,13.561243023535122,0.984749463620376,0.00189691352184072,0.9860453361156728,0.925230131527069,4.8977538949786115e-5,0.14,-0.8,0.8771929824561403,5.000000000000001,-149.87799424922216,-141.92953473771811,-142.4113275825555,-145.87799424922216,-135.6585463058598,-132.03184040306832,15471.440661907196,FALSE,TRUE,FALSE
Southern Africa Cluster,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.023499211875439,0.977967042261884,0.96768499531743,5340,FALSE,false convergence (8),662996.0756309166,0.9776157964581343,-0.00662410726638024,0.7070233758653585,0.0573288133200837,0.3906599242702654,0.5919402144892021,0.1462105920444998,2.2559191801697893,0.06580502211374939,-0.88,9.5,8.333333333333334,0.09523809523809525,-144.38450006539517,-136.43604055389113,-136.9178333987285,-140.38450006539517,-130.16505212203282,-126.53834621924132,4969.455243110657,FALSE,FALSE,FALSE
