r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,dAICc,wAICc
Brazil,CG,0.01019121062928847,0.9820461069272374,0.9736676234932815,2229,FALSE,,1.001996999009986,0.9418746039830859,1.0974253044325828e-5,0.9987094861594167,0.5805235313677748,5.666941884183614e-4,0.7832804467076208,2.4977502660111815e-6,0.9297260739861368,0.0010891409764849285,-0.24,0.76,1.3157894736842106,0.5681818181818182,-163.59964852956344,-155.6511890180594,-156.13298186289677,-159.59964852956344,-149.38020058620108,-145.7534946834096,172.83701300621033,35.71512668641802,1.4632731129571798e-8
Brazil,CG,0.01019121062928847,0.9820461069272374,0.9736676234932815,501,FALSE,,1.001996999009986,0.9418746039830859,1.0974253044325828e-5,0.9987094861594167,0.5805235313677748,5.666941884183614e-4,0.7832804467076208,2.4977502660111815e-6,0.9297260739861368,0.0010891409764849285,-0.24,0.76,1.3157894736842106,0.5681818181818182,-163.59964852956344,-155.6511890180594,-156.13298186289677,-159.59964852956344,-149.38020058620108,-145.7534946834096,172.83701300621033,35.71512668641802,1.4632731129571798e-8
Brazil,L-BFGS-B,0.009472709259085573,0.9833118934213545,0.9755241103513199,32,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1.0068446111737257,0.9401000407147887,9.246228323511007e-6,0.9988794220919819,0.6232919735757331,1.8368399193311718e-4,0.7976201418255111,1.3281252329111874e-7,0.9532547721599555,5.652103976254301e-4,-0.99,0.76,99.99999999999991,0.5681818181818182,-165.28119442055754,-157.3327349090535,-157.81452775389087,-161.28119442055754,-151.0617464771952,-147.4350405744037,4.983924865722656,34.033580795423916,3.392098411023377e-8
Brazil,L-BFGS-B,0.009472709259085573,0.9833118934213545,0.9755241103513199,32,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1.0068446111737257,0.9401000407147887,9.246228323511007e-6,0.9988794220919819,0.6232919735757331,1.8368399193311718e-4,0.7976201418255111,1.3281252329111874e-7,0.9532547721599555,5.652103976254301e-4,-0.99,0.76,99.99999999999991,0.5681818181818182,-165.28119442055754,-157.3327349090535,-157.81452775389087,-161.28119442055754,-151.0617464771952,-147.4350405744037,4.983924865722656,34.033580795423916,3.392098411023377e-8
Canada,LM,0.0017694932970859993,0.994679482415816,0.9921965742098635,891,TRUE,Relative error in the sum of squares is at most `ftol'.,5.765748346998241e-12,0.7270659603738819,0.012788992632943797,1.7569657024459482e-19,0.7706676874754632,0.6019753468082671,0.3220923334088712,0.16203456049965637,0.5723022650200869,1.162307597329656e-6,82,-0.24,0.012048192771084338,1.3157894736842106,-203.86879402927076,-195.92033451776672,-196.4021273626041,-199.86879402927076,-189.6493460859084,-186.02264018311692,99.23835587501526,0,0.8966849788845355
Canada,NM,0.02382492397599626,0.928363149402779,0.8949326191240758,145,TRUE,,0.017592725443045,0.9263158854514872,0.0019632373221062076,0.71351001407822,0.5093398223298009,0.7282893648993786,0.5367506828037645,0.1986810808331528,1.0337359979613954,0.02834560077731711,92,0.51,0.010752688172043012,0.6622516556291391,-144.06789643513372,-136.11943692362968,-136.60122976846705,-140.06789643513372,-129.84844849177136,-126.22174258897988,7.945809841156006,59.80089759413704,9.269151394031753e-14
Canada,Nelder-Mead,0.02382492397599626,0.928363149402779,0.8949326191240758,145,TRUE,,0.017592725443045,0.9263158854514872,0.0019632373221062076,0.71351001407822,0.5093398223298009,0.7282893648993786,0.5367506828037645,0.1986810808331528,1.0337359979613954,0.02834560077731711,92,0.51,0.010752688172043012,0.6622516556291391,-144.06789643513372,-136.11943692362968,-136.60122976846705,-140.06789643513372,-129.84844849177136,-126.22174258897988,7.791479825973511,59.80089759413704,9.269151394031753e-14
Canada,PORT,0.002135283765973281,0.9935796225717315,0.9905834464385396,323,TRUE,relative convergence (4),4.40533719545909e-13,0.551615577667689,0.014059908511209985,4.640256376035556e-64,0.1999514757024262,0.8606853210532799,3.3319117539928146e-4,0.9745432894655124,0.5079264243635496,1.170893295326367e-8,0.51,62,0.6622516556291391,0.015873015873015872,-199.54694874879425,-191.5984892372902,-192.08028208212758,-195.54694874879425,-185.3275008054319,-181.7007949026404,20.265851974487305,4.321845280476509,0.10331493721685983
Canada,Newton,0.03134693784386974,0.9057459362613656,0.8617607065166695,2,TRUE,,0.9648765969170003,0.9555059500522167,-1.8557332639554738e-5,0.9983289381475787,0.40385914661109223,0.33917486653748335,0.5131769317345253,0.6853467625065397,1.012430393629404,0.22453624301250985,-0.24,92,1.3157894736842106,0.010752688172043012,-137.75705690779574,-129.8085973962917,-130.29039024112907,-133.75705690779574,-123.53760896443339,-119.9109030616419,6.534142971038818,66.11173712147502,3.950559290644934e-15
Canada,CG,0.016873146753582802,0.949265773342689,0.9255898009026106,2226,FALSE,,0.9717544154239188,0.9454529930354797,-1.3710512980360116e-5,0.9984861938048653,0.13324306674705907,0.3755566889050378,0.6505671831106051,0.2671242003002605,1.25277337611342,0.07145543838954832,0.26,32,0.7936507936507936,0.030303030303030304,-152.00309998245004,-144.054640470946,-144.53643331578337,-148.00309998245004,-137.78365203908768,-134.1569461362962,256.3397219181061,51.86569404682072,4.899452282577883e-12
