r,t,residuals
Southern Africa Cluster,5,0.01247304787198017
Southern Africa Cluster,6,-0.004341440377820249
Southern Africa Cluster,7,0.04021166463167519
Southern Africa Cluster,8,0.04003258978565409
Southern Africa Cluster,9,0.036599929702235474
Southern Africa Cluster,10,-0.06656681439756451
Southern Africa Cluster,11,-9.088616190157037e-4
Southern Africa Cluster,12,-0.0032675513516801794
Southern Africa Cluster,13,-0.03943789283284928
Southern Africa Cluster,14,0.021385876408370336
Southern Africa Cluster,15,0.0030114591444301286
Southern Africa Cluster,16,-0.02097040574829051
Southern Africa Cluster,17,0.024427369411481964
Southern Africa Cluster,18,0.03634339543492163
Southern Africa Cluster,19,0.02275459864748211
Southern Africa Cluster,20,-0.007681892743300361
Southern Africa Cluster,21,-0.03508419413431371
Southern Africa Cluster,22,-0.03329589081369802
Southern Africa Cluster,23,0.021252384348258213
Southern Asia Cluster,1,0.02733026399292604
Southern Asia Cluster,2,-0.0028826962233773346
Southern Asia Cluster,3,-0.011949214140904552
Southern Asia Cluster,4,-0.017284669401723185
Southern Asia Cluster,5,-0.015835656210385296
Southern Asia Cluster,6,-0.0016204774788553533
Southern Asia Cluster,7,-7.485196030648789e-4
Southern Asia Cluster,8,0.0017514566898749473
Southern Asia Cluster,9,-0.0011600326299414931
Southern Asia Cluster,10,-0.0020546673571893714
Southern Asia Cluster,11,-0.007431278771302202
Southern Asia Cluster,12,-5.967183521863526e-4
Southern Asia Cluster,13,0.007738507679936529
Southern Asia Cluster,14,0.018165252463550188
Southern Asia Cluster,15,0.025028696935018455
Southern Asia Cluster,16,-0.007390529218224334
Southern Asia Cluster,17,1.8756281993362323e-4
Southern Asia Cluster,18,-0.005023195968448413
Southern Asia Cluster,19,0.014442263616828821
Southern Asia Cluster,20,0.026378930451192106
Southern Asia Cluster,21,-0.009964548570895515
Southern Asia Cluster,22,-0.022648367597492836
Southern Asia Cluster,23,-0.011689393009610194
Switzerland,1,0.006068957410730352
Switzerland,2,0.014155418123981633
Switzerland,3,-0.001413756185345949
Switzerland,4,-0.01350625683825235
Switzerland,5,-0.020211597954669758
Switzerland,6,-0.01867034727505501
Switzerland,7,-0.006632141563456706
Switzerland,8,0.003944663412830847
Switzerland,9,0.017989698033580703
Switzerland,10,0.01107280320032613
Switzerland,11,0.01362135403166033
Switzerland,12,0.014783509025809837
Switzerland,13,-0.0042868187590455725
Switzerland,14,-0.0037088161894887235
Switzerland,15,0.004666271844573813
Switzerland,16,0.001030827402001
Switzerland,17,-1.442364926849682e-4
Switzerland,18,-0.011255024976250097
Switzerland,19,0.003267044718728268
Switzerland,20,-0.0019053345321007609
