t,r,P,Y,C,K,L,E
2010,Canada,34.2,1.7873,1.11628,0.344,18.934218,7017
2010,Caribbean Extended,41.5,0.31128,0.15622,0.028,15.479358,1016
2010,Central America,43.2,0.44413,0.16022,0.036,17.225875,962
2010,Central Asia Extended,82.6,0.9832,0.16451,0.053,36.31151,4646
2010,Chile,17.2,0.41436,0.14423,0.049,8.113921,958
2010,China,1382.4,14.4802,4.24941,0.064,777.827686,59196
2010,Eastern Africa,345.3,0.72159,0.1609,0.034,143.149117,4392
2010,EU27,440.6,20.0093,10.0123,2.609,211.014754,42421
2010,India,1243.5,6.29113,1.06526,0.463,467.561989,17739
2010,Japan,128.2,5.23573,3.21054,0.971,66.100429,11820
2010,Levant,119.5,2.12139,0.76709,0.222,40.441795,4420
2010,Mexico,113.6,2.27911,0.85991,0.243,48.189452,4654
2010,Middle Africa,135.9,0.53154,0.1154,0.046,52.056976,1726
2010,Non-EU Europe,74.7,1.73977,0.44367,0.135,39.003215,5481
2010,Northern Africa,210.9,2.39458,0.53219,0.158,67.590898,4771
2010,Peninsular West Asia,175.9,3.88629,1.03297,0.352,56.554709,15695
2010,Republic of Korea,48.8,1.86378,0.8232,0.376,24.998081,5270
2010,Russia,143.9,4.72312,0.89165,0.272,75.955044,16494
2010,South Africa,52.3,0.74236,0.25468,0.055,20.017932,2247
2010,South America Cluster,138.5,1.40822,0.44607,0.12,66.810677,4209
2010,South-eastern Asia,628.7,6.03497,1.29691,0.521,311.925274,15350
2010,Southern Africa Cluster,7.3,0.06639,0.01785,0.005,2.764068,190
2010,Southern Asia Cluster,429,1.8537,0.36633,0.08,143.202289,4405
2010,Switzerland,7.8,0.58132,0.41006,0.161,4.449019,856
2010,Tropical Pacific Islands,10.8,0.04192,0.00338,0.001,3.472569,199
2010,United Kingdom,63,2.95089,2.2514,0.422,31.884621,5706
2010,United States,311.1,18.4975,13.7835,2.879,158.330168,60546
2010,Western Africa,320.5,1.36215,0.12517,0.034,132.801936,3089
2011,Argentina,41.7,1.22796,0.47111,0.101,18.857586,2387
2011,Australia and New Zealand,26.9,1.36985,1.04737,0.358,14.216423,3638
2011,Brazil,195.3,3.63773,1.43293,0.366,95.987652,6593
2011,Canada,34.6,1.84337,1.13874,0.36,19.112505,7291
2011,Caribbean Extended,41.8,0.31757,0.15896,0.028,15.77655,969
2011,Central America,43.9,0.4694,0.16695,0.04,17.61971,1014
2011,Central Asia Extended,83.8,1.04512,0.18229,0.056,36.857784,4948
2011,Chile,17.4,0.44015,0.15578,0.057,8.424492,1022
2011,China,1391.2,15.8403,4.73476,0.071,782.31583,64370
2011,Eastern Africa,355,0.77519,0.20894,0.048,148.702492,4525
2011,EU27,441.4,20.4007,10.0356,2.668,210.600907,40716
2011,India,1261.2,6.62086,1.14274,0.519,471.891929,18157
2011,Japan,128.1,5.23698,3.21598,0.992,65.674339,11650
2011,Levant,121.3,2.30857,0.82634,0.265,41.967175,4598
2011,Mexico,115.2,2.35761,0.89815,0.264,49.26243,4806
2011,Middle Africa,140.4,0.55461,0.12362,0.053,53.326534,1814
