r,t,fitted
Non-EU Europe,12,1.0867086913806974
Non-EU Europe,13,1.091502539973353
Non-EU Europe,14,1.1036302460321323
Non-EU Europe,15,1.0601689487347177
Non-EU Europe,16,0.9932485083475057
Non-EU Europe,17,1.0348760668631303
Non-EU Europe,18,1.0603823389012335
Non-EU Europe,19,1.1050879379960583
Non-EU Europe,20,1.1104918090215354
Non-EU Europe,21,1.0856995031864878
Non-EU Europe,22,1.142518020018104
Non-EU Europe,23,1.0452428541696224
Northern Africa,1,0.6526463377458017
Northern Africa,2,0.6753739947970441
Northern Africa,3,0.7197573906258401
Northern Africa,4,0.7145844185443833
Northern Africa,5,0.7522726520661815
Northern Africa,6,0.8033025245213067
Northern Africa,7,0.8423904202087357
Northern Africa,8,0.8889097640299299
Northern Africa,9,0.9260547176977595
Northern Africa,10,0.9454645621474637
Northern Africa,11,0.9902292936952851
Northern Africa,12,1.0072313320515776
Northern Africa,13,1.0386495527544553
Northern Africa,14,1.066476050631256
Northern Africa,15,1.0904124880552417
Northern Africa,16,1.1288721877281858
Northern Africa,17,1.1636595575938777
Northern Africa,18,1.1966122847941207
Northern Africa,19,1.2315722204327573
Northern Africa,20,1.2546741703949889
Northern Africa,21,1.2654029501233355
Northern Africa,22,1.2991225242810338
Northern Africa,23,1.3387812135375252
Peninsular West Asia,1,0.6055099659903372
Peninsular West Asia,2,0.6404459513608916
Peninsular West Asia,3,0.6688491843505698
Peninsular West Asia,4,0.7039666625731109
Peninsular West Asia,5,0.744550813229249
Peninsular West Asia,6,0.7880476554772462
Peninsular West Asia,7,0.8206031197150151
Peninsular West Asia,8,0.8695454552002395
Peninsular West Asia,9,0.9084126606201044
Peninsular West Asia,10,0.9384345950315045
Peninsular West Asia,11,0.9706502785018177
Peninsular West Asia,12,1.0071618856220343
Peninsular West Asia,13,1.0414690839326528
Peninsular West Asia,14,1.0841166700145013
Peninsular West Asia,15,1.1314148486993496
Peninsular West Asia,16,1.1864590977205953
Peninsular West Asia,17,1.2065338671495964
Peninsular West Asia,18,1.2362354334968162
Peninsular West Asia,19,1.2550652810400564
Peninsular West Asia,20,1.2758767537058915
Peninsular West Asia,21,1.2655457948929503
Peninsular West Asia,22,1.2841430328846346
Peninsular West Asia,23,1.361369110026139
Republic of Korea,1,0.6191347336513021
Republic of Korea,2,0.6424862019139304
Republic of Korea,3,0.7063875153264153
Republic of Korea,4,0.7524108871415112
Republic of Korea,5,0.777052777162022
Republic of Korea,6,0.8047588737959575
Republic of Korea,7,0.8300616516869848
Republic of Korea,8,0.8738806851254787
Republic of Korea,9,0.8898223657582945
Republic of Korea,10,0.908630636804196
Republic of Korea,11,0.9817786087403586
Republic of Korea,12,1.0121926175858884
Republic of Korea,13,1.0345000869858136
Republic of Korea,14,1.0628436571991737
Republic of Korea,15,1.072659106509488
Republic of Korea,16,1.1287430117456498
Republic of Korea,17,1.1726487636928458
Republic of Korea,18,1.2243094894714504
Republic of Korea,19,1.2568351618512077
Republic of Korea,20,1.2695626662159598
Republic of Korea,21,1.280766186956036
Republic of Korea,22,1.339212676231242
Republic of Korea,23,1.3501583904896362
Russia,1,0.6306326436608496
Russia,2,0.6754232079773292
Russia,3,0.6889297253109413
Russia,4,0.7461566534106714
Russia,5,0.7974196956948107
Russia,6,0.84382657355355
Russia,7,0.9194407926614906
Russia,8,0.9997964330997127
Russia,9,1.0442444529303683
Russia,10,0.9916533578784988
Russia,11,1.0254525148724472
Russia,12,1.0679250800443232
Russia,13,1.0987897846952728
Russia,14,1.1102387195651615
Russia,15,1.1164492634440968
Russia,16,1.0853874632837215
Russia,17,1.101145282307157
Russia,18,1.133057040086098
Russia,19,1.1512067633877616
Russia,20,1.1685751120664178
Russia,21,1.1610226368519276
Russia,22,1.209449095008724
Russia,23,1.2325927233936362
South Africa,1,0.7230246723076287
South Africa,2,0.7397736008943413
South Africa,3,0.7545860146167556
South Africa,4,0.7871061979720955
South Africa,5,0.8247176743919463
South Africa,6,0.8663683512649026
South Africa,7,0.9131670518661065
South Africa,8,0.9588103452297198
South Africa,9,1.0087637975434418
South Africa,10,0.9888545300173618
South Africa,11,1.0040941730824289
South Africa,12,1.0435331976936748
South Africa,13,1.0599280836002758
South Africa,14,1.0877978572353006
South Africa,15,1.0988787622738723
South Africa,16,1.1265617424880632
South Africa,17,1.137175865576632
South Africa,18,1.1440713890352547
South Africa,19,1.1457021176489448
South Africa,20,1.1638053766719465
South Africa,21,1.1183460048966514
South Africa,22,1.1325230773852488
South Africa,23,1.1714995850021082
South America Cluster,1,0.6129514565797334
South America Cluster,2,0.6284046015927672
South America Cluster,3,0.6547728162175601
South America Cluster,4,0.6763187309905551
South America Cluster,5,0.7056920172201867
South America Cluster,6,0.7433567350571897
South America Cluster,7,0.7851731412757429
South America Cluster,8,0.8359432069109602
South America Cluster,9,0.8817959448281204
South America Cluster,10,0.9033944221061404
South America Cluster,11,0.9644070369108948
South America Cluster,12,1.0231890843303324
South America Cluster,13,1.0767084431710525
South America Cluster,14,1.1368053391738222
South America Cluster,15,1.1790687535143942
South America Cluster,16,1.1888800566864326
South America Cluster,17,1.197337581295816
South America Cluster,18,1.2355670470862505
South America Cluster,19,1.2692640359918559
South America Cluster,20,1.2971382430096097
South America Cluster,21,1.2287583530796753
South America Cluster,22,1.3446441475110842
South America Cluster,23,1.4133404960542937
South-eastern Asia,1,0.5559663969268436
South-eastern Asia,2,0.5719737709281523
South-eastern Asia,3,0.5938410373421703
South-eastern Asia,4,0.618220802804007
South-eastern Asia,5,0.669729777472579
South-eastern Asia,6,0.7104986462757505
South-eastern Asia,7,0.7424679938172962
South-eastern Asia,8,0.7925904174171385
South-eastern Asia,9,0.8423075879911734
South-eastern Asia,10,0.8621867039309744
South-eastern Asia,11,0.9258747244929767
South-eastern Asia,12,0.9666937288871756
South-eastern Asia,13,1.0378378759699318
South-eastern Asia,14,1.0832803779179412
South-eastern Asia,15,1.1217391474230087
South-eastern Asia,16,1.1808691841290342
South-eastern Asia,17,1.2412622530715645
South-eastern Asia,18,1.3082162171210274
South-eastern Asia,19,1.375600858862857
South-eastern Asia,20,1.4341957038963271
South-eastern Asia,21,1.385195451253292
South-eastern Asia,22,1.4463633603539847
South-eastern Asia,23,1.5321376292660314
Southern Africa Cluster,1,0.6618977315203923
Southern Africa Cluster,2,0.6992995583583378
Southern Africa Cluster,3,0.7066562829026147
Southern Africa Cluster,4,0.7411932308012724
Southern Africa Cluster,5,0.7676832674610148
Southern Africa Cluster,6,0.8119749372067792
Southern Africa Cluster,7,0.8333128184491889
Southern Africa Cluster,8,0.8780776273013096
Southern Africa Cluster,9,0.9066988249935153
Southern Africa Cluster,10,0.9399791984094179
Southern Africa Cluster,11,0.9456557403915459
Southern Africa Cluster,12,0.9994618496856721
Southern Africa Cluster,13,1.0657495032508293
Southern Africa Cluster,14,1.07774913111005
Southern Africa Cluster,15,1.1521636569494722
Southern Africa Cluster,16,1.1770476282417461
Southern Africa Cluster,17,1.170221543596104
Southern Africa Cluster,18,1.1730204904590742
Southern Africa Cluster,19,1.2153062596625643
Southern Africa Cluster,20,1.2757678044140819
Southern Africa Cluster,21,1.2102571349260833
Southern Africa Cluster,22,1.2973614708865484
Southern Africa Cluster,23,1.2857642178027082
Southern Asia Cluster,1,0.5396547196328214
Southern Asia Cluster,2,0.5740530606932076
Southern Asia Cluster,3,0.6007731860228913
Southern Asia Cluster,4,0.6360599137015075
Southern Asia Cluster,5,0.6755110945170918
Southern Asia Cluster,6,0.7112712414370812
Southern Asia Cluster,7,0.7555783760996343
Southern Asia Cluster,8,0.7976643289562794
Southern Asia Cluster,9,0.8325607956206343
